,Player,Country,Team,goal,penalty
75, Jorginho,Italy,Chelsea FC ,4,3
76, Lucas Moura,Brazil,Tottenham Hotspur ,4,0
77, Marcos Alonso,Spain,Chelsea FC ,4,0
78,Mark Noble,England,West Ham United ,4,3
79,Divock Origi,Belgium,Liverpool FC ,4,0
80,Alex Oxlade-Chamberlain,England,Liverpool FC ,4,0
81,Nathan Redmond,England,Southampton FC ,4,0
82,Georginio Wijnaldum,Netherlands,Liverpool FC ,4,0
83,Wilfried Zaha,Ivory Coast,Crystal Palace ,4,0
84,Steven Bergwijn,Netherlands,Tottenham Hotspur ,3,0
85, Bernard,Brazil,Everton FC ,3,0
86,Ben Chilwell,England,Leicester City ,3,0
87,Aaron Connolly,Ireland,Brighton & Hove Albion ,3,0
88,Aaron Cresswell,England,West Ham United ,3,0
89,Issa Diop,France,West Ham United ,3,0
90, Douglas Luiz,Brazil,Aston Villa ,3,0
91,Lewis Dunk,England,Brighton & Hove Albion ,3,0
